Tipo,ID,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10,Prop11,Prop12,Prop13
Usuario,0,Luis Rodriguez,40,Argentina,Estandar,2022-06-19,Smart TV,True,Ciencia Ficción,,,,,
Usuario,1,Diana Perez,50,Mexico,Premium,2024-03-04,PC,False,Drama,,,,,
Usuario,2,Juan Martinez,60,Mexico,Estandar,2021-12-19,Smart TV,True,Ciencia Ficción;Drama;Terror,,,,,
Usuario,3,Valeria Lopez,58,Guatemala,Estandar,2021-08-01,Smart TV,False,Acción,,,,,
Usuario,4,Raul Perez,55,Argentina,Basico,2020-06-15,Smart TV,False,Ciencia Ficción;Drama,,,,,
Usuario,5,Pedro Perez,56,Estados Unidos,Estandar,2017-06-23,Smart TV,True,Acción;Ciencia Ficción,,,,,
Usuario,6,Juan Gomez,24,Mexico,Premium,2020-06-14,Tablet,False,Drama;Terror;Ciencia Ficción,,,,,
Usuario,7,Diana Vargas,51,Peru,Premium,2018-05-02,Tablet,False,Acción,,,,,
Usuario,8,Maria Fernandez,20,Argentina,Estandar,2014-01-26,Tablet,True,Drama;Terror;Ciencia Ficción,,,,,
Usuario,9,Pedro Ramirez,51,Argentina,Basico,2017-01-30,Smart TV,False,Ciencia Ficción,,,,,
Usuario,10,Raul Ramirez,35,Chile,Premium,2018-11-19,PC,True,Ciencia Ficción;Terror;Comedia,,,,,
Usuario,11,Diana Vargas,28,Colombia,Premium,2010-01-11,Movil,False,Acción,,,,,
Usuario,12,Raul Rodriguez,58,Guatemala,Estandar,2020-08-12,Smart TV,True,Ciencia Ficción;Terror,,,,,
Usuario,13,Elena Sanchez,34,Estados Unidos,Premium,2011-10-27,PC,False,Acción;Drama,,,,,
Usuario,14,Maria Martinez,24,Colombia,Basico,2020-10-09,Movil,True,Drama;Comedia;Acción,,,,,
Usuario,15,Valeria Perez,21,Chile,Estandar,2011-07-14,PC,True,Comedia,,,,,
Usuario,16,Maria Gomez,27,Mexico,Estandar,2010-10-31,Smart TV,False,Comedia,,,,,
Usuario,17,Luis Fernandez,45,Estados Unidos,Premium,2014-09-12,PC,False,Acción;Terror;Drama,,,,,
Usuario,18,Luis Martinez,60,Mexico,Basico,2024-09-11,Smart TV,True,Comedia,,,,,
Usuario,19,Juan Gomez,28,Guatemala,Estandar,2024-10-08,Smart TV,True,Drama;Comedia,,,,,
Usuario,20,Carlos Martinez,40,Peru,Estandar,2022-06-02,Movil,True,Comedia,,,,,
Usuario,21,Valeria Rodriguez,41,Estados Unidos,Basico,2023-11-10,Movil,True,Comedia;Acción,,,,,
Usuario,22,Maria Fernandez,49,Guatemala,Basico,2018-01-30,Tablet,True,Comedia;Acción,,,,,
Usuario,23,Luis Gomez,30,Argentina,Estandar,2015-09-02,PC,True,Ciencia Ficción,,,,,
Usuario,24,Luis Torres,48,Colombia,Estandar,2019-11-28,PC,False,Comedia,,,,,
Usuario,25,Maria Rodriguez,19,Chile,Premium,2013-01-16,Movil,False,Comedia;Terror;Ciencia Ficción,,,,,
Usuario,26,Ana Torres,35,Peru,Premium,2015-03-10,Tablet,False,Comedia,,,,,
Usuario,27,Valeria Torres,19,España,Premium,2011-11-24,PC,True,Ciencia Ficción;Comedia,,,,,
Usuario,28,Carlos Perez,57,Chile,Basico,2020-09-09,PC,False,Acción,,,,,
Usuario,29,Ana Rodriguez,21,Mexico,Estandar,2024-08-15,Movil,False,Terror,,,,,
Usuario,30,Raul Martinez,28,Mexico,Estandar,2010-02-08,Smart TV,False,Terror,,,,,
Usuario,31,Pedro Gomez,20,Mexico,Estandar,2013-04-06,Smart TV,True,Terror;Ciencia Ficción;Drama,,,,,
Usuario,32,Raul Ramirez,43,Estados Unidos,Premium,2010-08-31,Movil,True,Comedia;Ciencia Ficción;Acción,,,,,
Usuario,33,Pedro Gomez,44,Chile,Estandar,2019-12-16,Movil,False,Acción;Comedia;Ciencia Ficción,,,,,
Usuario,34,Ana Sanchez,52,Peru,Premium,2021-05-19,Movil,True,Acción;Terror,,,,,
Usuario,35,Valeria Perez,22,Colombia,Basico,2012-04-16,Tablet,True,Acción;Comedia,,,,,
Usuario,36,Luis Martinez,47,Guatemala,Estandar,2017-05-26,Smart TV,False,Drama;Acción;Terror,,,,,
Usuario,37,Luis Rodriguez,49,Guatemala,Estandar,2010-02-01,Smart TV,False,Ciencia Ficción;Drama,,,,,
Usuario,38,Carlos Fernandez,40,Chile,Premium,2013-11-20,Smart TV,True,Drama;Acción,,,,,
Usuario,39,Pedro Vargas,35,Guatemala,Basico,2017-08-01,Movil,False,Terror;Acción,,,,,
Usuario,40,Elena Gomez,58,Guatemala,Estandar,2023-07-30,PC,False,Drama;Terror,,,,,
Usuario,41,Ana Perez,29,Chile,Estandar,2010-12-30,Movil,False,Terror;Acción;Ciencia Ficción,,,,,
Usuario,42,Valeria Torres,36,Mexico,Basico,2023-09-29,Tablet,False,Acción;Drama;Ciencia Ficción,,,,,
Usuario,43,Ana Rodriguez,49,España,Estandar,2014-02-10,PC,True,Comedia;Terror;Drama,,,,,
Usuario,44,Juan Lopez,25,Guatemala,Basico,2022-08-04,Movil,False,Terror,,,,,
Usuario,45,Ana Martinez,52,Peru,Estandar,2024-06-21,Smart TV,False,Terror;Acción;Ciencia Ficción,,,,,
Usuario,46,Elena Torres,29,Peru,Basico,2020-05-16,PC,True,Ciencia Ficción,,,,,
Usuario,47,Valeria Perez,38,Peru,Basico,2015-08-22,Movil,True,Comedia;Acción;Terror,,,,,
Usuario,48,Ana Torres,22,Chile,Basico,2024-05-05,Tablet,True,Comedia,,,,,
Usuario,49,Diana Lopez,51,Peru,Basico,2011-06-23,Smart TV,True,Comedia,,,,,
Usuario,50,Pedro Torres,24,Colombia,Basico,2017-06-29,Smart TV,True,Comedia,,,,,
Usuario,51,Elena Rodriguez,42,Guatemala,Basico,2023-01-17,Tablet,False,Comedia,,,,,
Usuario,52,Diana Lopez,20,Peru,Premium,2024-02-22,PC,False,Acción;Terror,,,,,
Usuario,53,Raul Rodriguez,20,Colombia,Estandar,2015-09-25,Smart TV,True,Comedia,,,,,
Usuario,54,Diana Fernandez,47,Chile,Premium,2017-09-29,Tablet,True,Ciencia Ficción;Comedia;Drama,,,,,
Usuario,55,Maria Vargas,60,Mexico,Basico,2012-07-07,Smart TV,True,Drama;Terror,,,,,
Usuario,56,Pedro Rodriguez,57,España,Estandar,2011-05-19,Tablet,False,Terror,,,,,
Usuario,57,Elena Gomez,36,Estados Unidos,Premium,2012-11-24,Movil,True,Acción,,,,,
Usuario,58,Elena Vargas,58,Peru,Basico,2012-02-15,PC,True,Acción,,,,,
Usuario,59,Diana Vargas,34,España,Estandar,2018-02-14,Movil,True,Drama;Ciencia Ficción,,,,,
Usuario,60,Raul Lopez,20,Chile,Premium,2023-01-25,Tablet,False,Comedia,,,,,
Usuario,61,Raul Gomez,26,Mexico,Basico,2014-10-19,Smart TV,True,Drama,,,,,
